train-logloss,val-logloss,search_id,boost_round
0.624349,0.625709,0,0
0.568062,0.570469,0,1
0.521326,0.5247,0,2
0.482158,0.486363,0,3
0.448929,0.453914,0,4
0.420584,0.426117,0,5
0.396378,0.402493,0,6
0.375481,0.381935,0,7
0.357467,0.36438,0,8
0.341788,0.34911,0,9
0.328189,0.335872,0,10
0.316376,0.324379,0,11
0.306044,0.314447,0,12
0.297095,0.305884,0,13
0.289298,0.298289,0,14
0.282465,0.291652,0,15
0.276477,0.285844,0,16
0.271232,0.280807,0,17
0.266652,0.276403,0,18
0.262662,0.272628,0,19
0.259163,0.269247,0,20
0.256123,0.266346,0,21
0.253479,0.263811,0,22
0.251129,0.261599,0,23
0.249104,0.259708,0,24
0.247317,0.258013,0,25
0.245784,0.256558,0,26
0.244442,0.255287,0,27
0.243233,0.254092,0,28
0.242214,0.253153,0,29
0.241312,0.252294,0,30
0.240529,0.25153,0,31
0.239845,0.250889,0,32
0.239252,0.250345,0,33
0.238738,0.249859,0,34
0.238289,0.249399,0,35
0.237888,0.24903,0,36
0.237509,0.248631,0,37
0.23721,0.248376,0,38
0.236924,0.248085,0,39
0.23667,0.247841,0,40
0.236456,0.24762,0,41
0.236271,0.247484,0,42
0.236102,0.247315,0,43
0.235953,0.247172,0,44
0.235799,0.247022,0,45
0.235674,0.246886,0,46
0.235548,0.246753,0,47
0.235451,0.24666,0,48
0.23536,0.246575,0,49
0.235282,0.246501,0,50
0.235194,0.246408,0,51
0.235116,0.246329,0,52
0.235055,0.246271,0,53
0.234996,0.246225,0,54
0.234941,0.246178,0,55
0.234894,0.246132,0,56
0.234842,0.246086,0,57
0.234802,0.246063,0,58
0.234736,0.245995,0,59
0.234697,0.245976,0,60
0.234666,0.245953,0,61
0.23463,0.245916,0,62
0.234596,0.245897,0,63
0.234555,0.245849,0,64
0.234532,0.24584,0,65
0.234499,0.245808,0,66
0.234478,0.245798,0,67
0.234449,0.245778,0,68
0.234405,0.245741,0,69
0.234378,0.245719,0,70
0.234356,0.245698,0,71
0.234332,0.245673,0,72
0.234307,0.245669,0,73
0.23427,0.245612,0,74
0.23425,0.245592,0,75
0.234234,0.245577,0,76
0.23422,0.245577,0,77
0.234208,0.245575,0,78
0.234197,0.245566,0,79
0.234179,0.245569,0,80
0.234157,0.245557,0,81
0.234142,0.245542,0,82
0.234125,0.245526,0,83
0.234099,0.245499,0,84
0.234083,0.245493,0,85
0.234061,0.245463,0,86
0.234052,0.24546,0,87
0.234042,0.245459,0,88
0.234028,0.245457,0,89
0.234012,0.245443,0,90
0.234001,0.245431,0,91
0.233992,0.245425,0,92
0.233975,0.245415,0,93
