train-logloss,val-logloss,search_id,boost_round
0.625556,0.625614,0,0
0.570295,0.570397,0,1
0.524424,0.524568,0,2
0.486043,0.48623,0,3
0.453569,0.453798,0,4
0.425746,0.426004,0,5
0.40196,0.402245,0,6
0.381493,0.381806,0,7
0.363854,0.364202,0,8
0.348626,0.349002,0,9
0.335325,0.33572,0,10
0.323781,0.324196,0,11
0.313746,0.314181,0,12
0.305062,0.305519,0,13
0.297444,0.29791,0,14
0.290786,0.291265,0,15
0.284992,0.285486,0,16
0.279925,0.28043,0,17
0.275517,0.276033,0,18
0.271672,0.272195,0,19
0.268321,0.268856,0,20
0.265404,0.265952,0,21
0.26285,0.263405,0,22
0.260589,0.261151,0,23
0.258646,0.259215,0,24
0.256912,0.25749,0,25
0.255413,0.256002,0,26
0.25411,0.254712,0,27
0.252969,0.253585,0,28
0.251987,0.252612,0,29
0.251116,0.251752,0,30
0.250351,0.250997,0,31
0.249709,0.250363,0,32
0.249128,0.249789,0,33
0.248626,0.249294,0,34
0.248186,0.24886,0,35
0.247804,0.248487,0,36
0.247435,0.248124,0,37
0.247111,0.247804,0,38
0.246842,0.24754,0,39
0.2466,0.2473,0,40
0.246382,0.247087,0,41
0.24618,0.246894,0,42
0.246012,0.246736,0,43
0.245827,0.246558,0,44
0.245698,0.246433,0,45
0.245573,0.246315,0,46
0.245466,0.246213,0,47
0.245363,0.246118,0,48
0.245249,0.246013,0,49
0.245132,0.245898,0,50
0.245051,0.245824,0,51
0.244962,0.245735,0,52
0.244902,0.245679,0,53
0.244819,0.245602,0,54
0.244773,0.24556,0,55
0.24472,0.245514,0,56
0.244664,0.245464,0,57
0.244601,0.245405,0,58
0.244555,0.245365,0,59
0.244516,0.245328,0,60
0.244479,0.245297,0,61
0.244429,0.245252,0,62
0.244397,0.245228,0,63
0.244351,0.245185,0,64
0.244306,0.245145,0,65
0.244262,0.245104,0,66
0.244219,0.245064,0,67
0.244178,0.245028,0,68
0.244141,0.244998,0,69
0.244106,0.244972,0,70
0.244081,0.244953,0,71
0.244039,0.244918,0,72
0.244015,0.244901,0,73
0.243985,0.244877,0,74
0.243953,0.24485,0,75
0.243932,0.244836,0,76
0.243908,0.244819,0,77
0.243885,0.244797,0,78
0.243867,0.244784,0,79
0.243833,0.244755,0,80
0.243799,0.244728,0,81
0.243768,0.244701,0,82
0.243738,0.244675,0,83
0.243705,0.244646,0,84
0.243684,0.244632,0,85
0.243664,0.244617,0,86
0.24363,0.244589,0,87
0.243606,0.244567,0,88
0.243588,0.244554,0,89
0.243566,0.244537,0,90
0.243548,0.244525,0,91
0.243517,0.244498,0,92
0.243499,0.244485,0,93
0.243487,0.244478,0,94
0.24347,0.244465,0,95
0.243458,0.244459,0,96
0.243439,0.244446,0,97
0.243423,0.244437,0,98
0.2434,0.244419,0,99
0.243372,0.244393,0,100
0.243355,0.244381,0,101
0.243342,0.244371,0,102
0.243323,0.244356,0,103
0.243299,0.244339,0,104
0.243281,0.244326,0,105
0.243255,0.244306,0,106
0.243234,0.244291,0,107
0.243217,0.24428,0,108
0.2432,0.244267,0,109
0.243182,0.244253,0,110
0.24317,0.244246,0,111
0.24315,0.244228,0,112
0.243137,0.24422,0,113
0.24312,0.244206,0,114
0.243103,0.244194,0,115
0.243089,0.244183,0,116
0.243075,0.244172,0,117
0.243068,0.244168,0,118
0.243042,0.244147,0,119
0.24303,0.24414,0,120
0.24301,0.244124,0,121
0.242997,0.244118,0,122
0.242983,0.244111,0,123
0.242964,0.244097,0,124
0.242954,0.244091,0,125
0.242936,0.244079,0,126
0.242919,0.244068,0,127
0.242903,0.244058,0,128
0.242888,0.24405,0,129
0.242873,0.244037,0,130
0.242861,0.244031,0,131
0.242844,0.244019,0,132
0.242823,0.244004,0,133
0.242805,0.243992,0,134
0.242792,0.243983,0,135
0.242778,0.243975,0,136
0.24277,0.24397,0,137
0.242761,0.243966,0,138
0.242749,0.243959,0,139
0.242735,0.24395,0,140
0.242723,0.243943,0,141
0.24271,0.243935,0,142
0.242699,0.243932,0,143
0.242687,0.243925,0,144
0.242672,0.243916,0,145
0.242665,0.243914,0,146
0.242659,0.24391,0,147
0.242643,0.2439,0,148
0.242631,0.243893,0,149
0.242619,0.243886,0,150
0.242606,0.243878,0,151
0.242596,0.243873,0,152
0.242582,0.243865,0,153
0.242571,0.24386,0,154
0.242564,0.243856,0,155
0.242549,0.243845,0,156
0.242534,0.243835,0,157
0.242521,0.243824,0,158
0.242506,0.243816,0,159
0.242493,0.24381,0,160
0.242484,0.243804,0,161
0.242468,0.243792,0,162
0.242457,0.243786,0,163
0.242446,0.243778,0,164
0.242432,0.243771,0,165
0.242421,0.243764,0,166
0.242409,0.243757,0,167
0.242399,0.243752,0,168
0.242389,0.243749,0,169
0.24238,0.243745,0,170
0.242367,0.243738,0,171
0.242356,0.243731,0,172
0.242347,0.243729,0,173
0.242334,0.243721,0,174
0.242324,0.243714,0,175
0.242318,0.243714,0,176
0.242312,0.243714,0,177
0.242303,0.24371,0,178
0.242293,0.243707,0,179
0.242284,0.243704,0,180
0.242275,0.243699,0,181
0.242262,0.243691,0,182
0.242253,0.243688,0,183
0.242246,0.243684,0,184
0.242233,0.243677,0,185
0.242224,0.243671,0,186
0.242212,0.243665,0,187
0.242203,0.243659,0,188
0.242193,0.243656,0,189
0.242184,0.243652,0,190
0.242172,0.243643,0,191
0.242165,0.243642,0,192
0.242157,0.243638,0,193
0.24215,0.243636,0,194
0.242138,0.24363,0,195
0.242124,0.243622,0,196
0.242117,0.243619,0,197
0.242107,0.243616,0,198
0.2421,0.243614,0,199
0.242088,0.243609,0,200
0.242076,0.243605,0,201
0.242063,0.243598,0,202
0.242054,0.243594,0,203
0.242049,0.243592,0,204
0.242039,0.24359,0,205
0.24203,0.243585,0,206
0.242023,0.243582,0,207
0.242016,0.243578,0,208
0.242008,0.243576,0,209
0.241994,0.243569,0,210
0.241984,0.243567,0,211
0.241976,0.243564,0,212
0.241965,0.24356,0,213
0.241959,0.243558,0,214
0.241955,0.243556,0,215
0.241948,0.243552,0,216
0.241938,0.243548,0,217
0.241931,0.243545,0,218
0.241925,0.243543,0,219
0.241915,0.243537,0,220
0.241904,0.243531,0,221
0.241896,0.243527,0,222
0.241887,0.243523,0,223
0.241883,0.243522,0,224
0.241878,0.243521,0,225
0.241869,0.243516,0,226
0.241865,0.243515,0,227
0.241854,0.24351,0,228
0.24185,0.243508,0,229
0.241841,0.243504,0,230
0.241832,0.2435,0,231
0.241823,0.243495,0,232
0.241813,0.243488,0,233
0.241806,0.243484,0,234
0.241796,0.243479,0,235
0.241784,0.243472,0,236
0.241773,0.243466,0,237
0.241766,0.243463,0,238
0.241758,0.243459,0,239
0.241747,0.243454,0,240
0.241737,0.243448,0,241
0.241728,0.243443,0,242
0.241719,0.24344,0,243
0.241715,0.24344,0,244
0.241705,0.243435,0,245
0.241697,0.243432,0,246
0.241686,0.243427,0,247
0.241677,0.243423,0,248
0.241672,0.243423,0,249
