train-logloss,val-logloss,search_id,boost_round
0.624301,0.624282,0,0
0.568002,0.567963,0,1
0.52125,0.521196,0,2
0.481979,0.481913,0,3
0.448729,0.448648,0,4
0.420372,0.420278,0,5
0.396087,0.395981,0,6
0.375177,0.375062,0,7
0.357118,0.356997,0,8
0.341477,0.341348,0,9
0.327838,0.327695,0,10
0.316024,0.315873,0,11
0.305744,0.305587,0,12
0.296772,0.296609,0,13
0.288947,0.288769,0,14
0.282067,0.281877,0,15
0.27606,0.275854,0,16
0.270799,0.270581,0,17
0.266174,0.265948,0,18
0.262172,0.261938,0,19
0.258671,0.258426,0,20
0.255625,0.255372,0,21
0.252961,0.252698,0,22
0.250622,0.250353,0,23
0.248562,0.248281,0,24
0.246777,0.246486,0,25
0.245216,0.244914,0,26
0.243875,0.243565,0,27
0.242689,0.242376,0,28
0.241652,0.241334,0,29
0.240761,0.240433,0,30
0.239965,0.239633,0,31
0.239279,0.23894,0,32
0.23867,0.238323,0,33
0.238138,0.237788,0,34
0.237662,0.237309,0,35
0.237262,0.236904,0,36
0.23687,0.236509,0,37
0.236553,0.236189,0,38
0.236271,0.235901,0,39
0.236007,0.235633,0,40
0.235784,0.235408,0,41
0.235591,0.235213,0,42
0.235422,0.235044,0,43
0.235261,0.234879,0,44
0.235113,0.234732,0,45
0.234994,0.234609,0,46
0.234882,0.234493,0,47
0.234777,0.23439,0,48
0.234666,0.23428,0,49
0.234578,0.234191,0,50
0.234494,0.234107,0,51
0.234412,0.234024,0,52
0.234357,0.233969,0,53
0.234302,0.233916,0,54
0.234244,0.233858,0,55
0.234192,0.233805,0,56
0.234146,0.233759,0,57
0.234094,0.233706,0,58
0.234047,0.233661,0,59
0.233992,0.233604,0,60
0.23396,0.233571,0,61
0.233924,0.233534,0,62
0.233863,0.233474,0,63
0.233822,0.233432,0,64
0.233786,0.233395,0,65
0.233763,0.233372,0,66
0.23373,0.233338,0,67
0.233695,0.233301,0,68
0.233676,0.233283,0,69
0.233649,0.233256,0,70
0.233614,0.233221,0,71
0.233584,0.233192,0,72
0.233567,0.233175,0,73
0.233533,0.233142,0,74
0.233498,0.233108,0,75
0.233457,0.233066,0,76
0.233436,0.233044,0,77
0.233415,0.233023,0,78
0.233402,0.23301,0,79
0.233383,0.232991,0,80
0.233355,0.232964,0,81
0.233331,0.232941,0,82
0.233305,0.232914,0,83
0.233285,0.232893,0,84
0.233271,0.23288,0,85
0.233252,0.23286,0,86
0.233234,0.232841,0,87
0.233214,0.232821,0,88
0.233201,0.232806,0,89
