train-logloss,val-logloss,search_id,boost_round
0.624895,0.624965,0,0
0.569094,0.569237,0,1
0.522741,0.522955,0,2
0.48383,0.484114,0,3
0.450863,0.45121,0,4
0.422809,0.423216,0,5
0.398781,0.399245,0,6
0.378088,0.378618,0,7
0.360218,0.360814,0,8
0.34475,0.345412,0,9
0.331302,0.332023,0,10
0.319616,0.3204,0,11
0.309451,0.310293,0,12
0.300594,0.301493,0,13
0.292872,0.293825,0,14
0.286135,0.287146,0,15
0.280263,0.281329,0,16
0.275123,0.276248,0,17
0.270637,0.271821,0,18
0.266716,0.267958,0,19
0.263288,0.264589,0,20
0.260313,0.261674,0,21
0.257721,0.259133,0,22
0.255438,0.256906,0,23
0.253453,0.254975,0,24
0.251715,0.253292,0,25
0.2502,0.251829,0,26
0.248879,0.25056,0,27
0.24773,0.249463,0,28
0.246724,0.248508,0,29
0.245837,0.247669,0,30
0.245071,0.246956,0,31
0.244401,0.246336,0,32
0.243799,0.245782,0,33
0.243287,0.245321,0,34
0.24283,0.244913,0,35
0.242428,0.244557,0,36
0.24207,0.244246,0,37
0.241759,0.243981,0,38
0.241482,0.24375,0,39
0.241241,0.24355,0,40
0.241026,0.243379,0,41
0.240838,0.243237,0,42
0.240665,0.243099,0,43
0.240511,0.242983,0,44
0.240371,0.242873,0,45
0.240244,0.242777,0,46
0.240137,0.242701,0,47
0.240023,0.242624,0,48
0.239923,0.242565,0,49
0.239842,0.242513,0,50
0.239769,0.242471,0,51
0.239684,0.242417,0,52
0.239619,0.242378,0,53
0.239561,0.242344,0,54
0.239508,0.242316,0,55
0.239453,0.24229,0,56
0.239392,0.242254,0,57
0.239324,0.242219,0,58
0.239279,0.242191,0,59
0.239237,0.242172,0,60
0.239161,0.242134,0,61
0.239109,0.242104,0,62
0.239051,0.242075,0,63
0.238999,0.24205,0,64
0.23896,0.242032,0,65
0.238931,0.242013,0,66
0.238897,0.242,0,67
0.238845,0.241974,0,68
0.238798,0.241951,0,69
0.238763,0.241937,0,70
0.238717,0.241919,0,71
0.238692,0.241908,0,72
0.238668,0.241895,0,73
0.238625,0.241882,0,74
0.238609,0.241876,0,75
0.23857,0.241866,0,76
0.238544,0.241856,0,77
0.238518,0.241845,0,78
0.238501,0.241837,0,79
0.238465,0.241824,0,80
0.238427,0.24181,0,81
0.23841,0.241804,0,82
0.238361,0.241791,0,83
0.23831,0.241774,0,84
0.238267,0.241755,0,85
0.238224,0.24174,0,86
