test-logloss-mean,test-logloss-std,train-logloss-mean,train-logloss-std,search_id,boost_round
0.625645,3.718601887807941e-05,0.6256375999999999,2.692656680679473e-05,0,0
0.57047,7.674112326519153e-05,0.5704608,4.0641850351571295e-05,0,1
0.5246904,0.0001501793594339754,0.5246774000000001,3.793468070250744e-05,0,2
0.4862144,0.0001641981729496429,0.4861966,4.199809519489672e-05,0,3
0.4536314,0.0001881346326437553,0.4536074,7.028399533322513e-05,0,4
0.4259258,0.00016743882464947146,0.42589819999999995,0.00014953046512333263,0,5
0.402201,0.0001971567903978926,0.4021684,0.00012486889124198417,0,6
0.3817404,0.0002378710575080638,0.3817014,0.00010331234195390767,0,7
0.36407740000000005,0.0002612505310999359,0.3640342,0.00011214526294052816,0,8
0.34879720000000003,0.0002733103730194022,0.3487478,0.0001276344781005498,0,9
0.33553520000000003,0.0002952357701905394,0.33547839999999995,0.0001233070963083538,0,10
0.32404160000000004,0.0003011003819326608,0.32398040000000006,0.00014229068838121582,0,11
0.31402579999999997,0.0003067294573398655,0.3139586,0.00014922680724319744,0,12
0.30530999999999997,0.0003131989782869593,0.3052376,0.00015745551752796284,0,13
0.2976874,0.0003274462398623534,0.297612,0.00015730225681788543,0,14
0.2910578,0.000343959532503459,0.29097639999999997,0.0001503244491092467,0,15
0.2852832,0.00035407874830325255,0.2851966,0.00016028674305754569,0,16
0.28024780000000005,0.00038525960078887714,0.28015599999999996,0.0001443384910548808,0,17
0.2758498,0.00039003046034892237,0.2757526,0.0001471075796823547,0,18
0.2720094,0.0003955839228280106,0.27190919999999996,0.00015730530823845703,0,19
0.2686478,0.00040537163196258824,0.26854500000000003,0.00015633937443907956,0,20
0.2657166,0.0004173279765364381,0.2656066,0.00015178089471339825,0,21
0.2631584,0.0004298053512928726,0.263045,0.00014826327933781415,0,22
0.26093140000000004,0.0004399420870978395,0.26081419999999994,0.00014830428179927194,0,23
0.2589798,0.0004567158416345998,0.2588584,0.00014071901079811255,0,24
0.2572704,0.00046468854085291117,0.2571442,0.00013920976977210725,0,25
0.2557772,0.00045659014444028514,0.2556454,0.00015785385646224608,0,26
0.2544786,0.0004750000421052572,0.2543412,0.00014554779283794208,0,27
0.2533414,0.0004832401473387798,0.2531998,0.0001427661024193166,0,28
